Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
4.191491808,-0.004901589,24.33003389,-0.0006,0,0
4.190749068,-0.001478006,24.32599342,-0.0006,4.206,16.781
3.974870912,-2.012528324,24.38908513,-1.9982,3.062,35.703
3.951716708,-2.013979362,24.54475232,-1.9982,3.03,53.781
3.934352489,-2.011143596,24.7313852,-1.9982,3.011,71.922
3.920058442,-2.013006628,24.9098164,-1.9982,2.991,90.094
3.90790351,-2.014399657,25.10588415,-1.9982,2.977,108.281
3.897035722,-2.011602885,25.31701856,-1.9982,2.967,126.453
3.887476581,-2.018014688,25.5094231,-1.9982,2.959,144.641
3.878958592,-2.013134754,25.70360345,-1.9982,2.951,162.844
3.871015985,-2.013162202,25.88720819,-1.9982,2.943,181.016
3.863479677,-2.013030234,26.07781486,-1.9982,2.935,199.219
3.856660507,-2.013710499,26.25431462,-1.9982,2.93,217.391
3.850013579,-2.014150137,26.43671069,-1.9982,2.925,235.594
3.843841905,-2.013463983,26.61127891,-1.9982,2.925,253.75
3.837687976,-2.012645836,26.78134765,-1.9982,2.919,271.984
3.831938253,-2.013409301,26.95745885,-1.9982,2.913,290.141
3.826414443,-2.0131455,27.12980014,-1.9982,2.907,308.359
3.821095734,-2.012041289,27.30582408,-1.9982,2.902,326.5
3.815896665,-2.014463253,27.46481668,-1.9982,2.897,344.75
3.810696822,-2.01314003,27.61796452,-1.9982,2.892,362.906
3.805837381,-2.009226436,27.77547783,-1.9982,2.887,381.047
3.801121633,-2.01466618,27.93132998,-1.9982,2.882,399.187
3.796293131,-2.013218329,28.07896948,-1.9982,2.877,417.281
3.791448906,-2.01151422,28.2335031,-1.9982,2.872,435.484
3.786624687,-2.01220228,28.37877941,-1.9982,2.867,453.672
3.782062923,-2.013853345,28.5225242,-1.9982,2.863,471.812
3.777175402,-2.01213146,28.66589833,-1.9982,2.858,490.203
3.772406294,-2.010701731,28.81671829,-1.9982,2.853,508.344
3.767937459,-2.012086038,28.93274894,-1.9982,2.849,526.625
3.763229304,-2.012293919,29.0704461,-1.9982,2.845,544.922
3.758511492,-2.013465978,29.18458627,-1.9982,2.84,563.125
3.75421321,-2.013587961,29.29244411,-1.9982,2.835,581.406
3.749629203,-2.012847057,29.40274581,-1.9982,2.831,599.656
3.74516886,-2.012426283,29.4989651,-1.9982,2.827,617.875
3.741005009,-2.012455651,29.59370293,-1.9982,2.823,636.047
3.736699829,-2.0133848,29.68142827,-1.9982,2.819,654.422
3.732482705,-2.012628857,29.76670142,-1.9982,2.815,672.594
3.728352554,-2.015505362,29.83908101,-1.9982,2.81,690.812
3.724533235,-2.011329658,29.91087573,-1.9982,2.807,708.937
3.720651026,-2.010879042,29.98224432,-1.9982,2.803,727.266
3.716409008,-2.01299613,30.03264278,-1.9982,2.799,745.578
3.712791838,-2.010757949,30.09435785,-1.9982,2.795,763.797
3.708427614,-2.013701269,30.1385033,-1.9982,2.791,782.109
3.704791772,-2.011144436,30.18676402,-1.9982,2.787,800.484
3.700682578,-2.012174076,30.23782919,-1.9982,2.783,818.797
